,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER
0,21400001.0,Orlando Magic,New Orleans Pelicans,84.0,101.0,185.0,17.0,New Orleans Pelicans
1,21400002.0,Dallas Mavericks,San Antonio Spurs,100.0,101.0,201.0,1.0,San Antonio Spurs
2,21400003.0,Houston Rockets,Los Angeles Lakers,108.0,90.0,198.0,18.0,Houston Rockets
3,21400004.0,Milwaukee Bucks,Charlotte Hornets,106.0,108.0,214.0,2.0,Charlotte Hornets
4,21400005.0,Philadelphia 76ers,Indiana Pacers,91.0,103.0,194.0,12.0,Indiana Pacers
5,21400006.0,Brooklyn Nets,Boston Celtics,105.0,121.0,226.0,16.0,Boston Celtics
6,21400007.0,Washington Wizards,Miami Heat,95.0,107.0,202.0,12.0,Miami Heat
7,21400008.0,Atlanta Hawks,Toronto Raptors,102.0,109.0,211.0,7.0,Toronto Raptors
8,21400009.0,Minnesota Timberwolves,Memphis Grizzlies,101.0,105.0,206.0,4.0,Memphis Grizzlies
9,21400010.0,Chicago Bulls,New York Knicks,104.0,80.0,184.0,24.0,Chicago Bulls
10,21400011.0,Detroit Pistons,Denver Nuggets,79.0,89.0,168.0,10.0,Denver Nuggets
11,21400012.0,Houston Rockets,Utah Jazz,104.0,93.0,197.0,11.0,Houston Rockets
12,21400013.0,Los Angeles Lakers,Phoenix Suns,99.0,119.0,218.0,20.0,Phoenix Suns
13,21400014.0,Golden State Warriors,Sacramento Kings,95.0,77.0,172.0,18.0,Golden State Warriors
14,21400015.0,Oklahoma City Thunder,Portland Trail Blazers,89.0,106.0,195.0,17.0,Portland Trail Blazers
15,21400016.0,Washington Wizards,Orlando Magic,105.0,98.0,203.0,7.0,Washington Wizards
16,21400017.0,Detroit Pistons,Minnesota Timberwolves,91.0,97.0,188.0,6.0,Minnesota Timberwolves
17,21400018.0,New York Knicks,Cleveland Cavaliers,95.0,90.0,185.0,5.0,New York Knicks
18,21400019.0,Utah Jazz,Dallas Mavericks,102.0,120.0,222.0,18.0,Dallas Mavericks
19,21400020.0,Oklahoma City Thunder,Los Angeles Clippers,90.0,93.0,183.0,3.0,Los Angeles Clippers
20,21400021.0,Memphis Grizzlies,Indiana Pacers,97.0,89.0,186.0,8.0,Memphis Grizzlies
21,21400022.0,Cleveland Cavaliers,Chicago Bulls,114.0,108.0,222.0,6.0,Cleveland Cavaliers
22,21400023.0,Philadelphia 76ers,Milwaukee Bucks,81.0,93.0,174.0,12.0,Milwaukee Bucks
23,21400024.0,San Antonio Spurs,Phoenix Suns,89.0,94.0,183.0,5.0,Phoenix Suns
24,21400025.0,Portland Trail Blazers,Sacramento Kings,94.0,103.0,197.0,9.0,Sacramento Kings
25,21400026.0,Los Angeles Clippers,Los Angeles Lakers,118.0,111.0,229.0,7.0,Los Angeles Clippers
26,21400027.0,Dallas Mavericks,New Orleans Pelicans,109.0,104.0,213.0,5.0,Dallas Mavericks
27,21400028.0,Memphis Grizzlies,Charlotte Hornets,71.0,69.0,140.0,2.0,Memphis Grizzlies
28,21400029.0,Toronto Raptors,Orlando Magic,108.0,95.0,203.0,13.0,Toronto Raptors
29,21400030.0,Miami Heat,Philadelphia 76ers,114.0,96.0,210.0,18.0,Miami Heat
30,21400031.0,Milwaukee Bucks,Washington Wizards,97.0,108.0,205.0,11.0,Washington Wizards
31,21400032.0,Indiana Pacers,Atlanta Hawks,92.0,102.0,194.0,10.0,Atlanta Hawks
32,21400033.0,Brooklyn Nets,Detroit Pistons,102.0,90.0,192.0,12.0,Brooklyn Nets
33,21400034.0,Boston Celtics,Houston Rockets,90.0,104.0,194.0,14.0,Houston Rockets
34,21400035.0,Chicago Bulls,Minnesota Timberwolves,106.0,105.0,211.0,1.0,Chicago Bulls
35,21400036.0,Denver Nuggets,Oklahoma City Thunder,91.0,102.0,193.0,11.0,Oklahoma City Thunder
36,21400037.0,Phoenix Suns,Utah Jazz,91.0,118.0,209.0,27.0,Utah Jazz
37,21400038.0,Los Angeles Lakers,Golden State Warriors,104.0,127.0,231.0,23.0,Golden State Warriors
38,21400039.0,Sacramento Kings,Los Angeles Clippers,98.0,92.0,190.0,6.0,Sacramento Kings
39,21400040.0,Toronto Raptors,Miami Heat,102.0,107.0,209.0,5.0,Miami Heat
40,21400041.0,Charlotte Hornets,New York Knicks,93.0,96.0,189.0,3.0,New York Knicks
41,21400042.0,Golden State Warriors,Portland Trail Blazers,95.0,90.0,185.0,5.0,Golden State Warriors
42,21400043.0,Houston Rockets,Philadelphia 76ers,104.0,93.0,197.0,11.0,Houston Rockets
43,21400044.0,Oklahoma City Thunder,Brooklyn Nets,85.0,116.0,201.0,31.0,Brooklyn Nets
44,21400045.0,New Orleans Pelicans,Memphis Grizzlies,81.0,93.0,174.0,12.0,Memphis Grizzlies
45,21400046.0,Boston Celtics,Dallas Mavericks,113.0,118.0,231.0,5.0,Dallas Mavericks
46,21400047.0,Sacramento Kings,Denver Nuggets,110.0,105.0,215.0,5.0,Sacramento Kings
47,21400048.0,Utah Jazz,Los Angeles Clippers,101.0,107.0,208.0,6.0,Los Angeles Clippers
48,21400049.0,Milwaukee Bucks,Indiana Pacers,87.0,81.0,168.0,6.0,Milwaukee Bucks
49,21400050.0,Houston Rockets,Miami Heat,108.0,91.0,199.0,17.0,Houston Rockets
50,21400051.0,Washington Wizards,New York Knicks,98.0,83.0,181.0,15.0,Washington Wizards
51,21400052.0,Oklahoma City Thunder,Toronto Raptors,88.0,100.0,188.0,12.0,Toronto Raptors
52,21400053.0,Orlando Magic,Chicago Bulls,90.0,98.0,188.0,8.0,Chicago Bulls
53,21400054.0,Charlotte Hornets,New Orleans Pelicans,91.0,100.0,191.0,9.0,New Orleans Pelicans
54,21400055.0,Cleveland Cavaliers,Portland Trail Blazers,82.0,101.0,183.0,19.0,Portland Trail Blazers
55,21400056.0,Phoenix Suns,Los Angeles Lakers,112.0,106.0,218.0,6.0,Phoenix Suns
56,21400057.0,Miami Heat,Charlotte Hornets,89.0,96.0,185.0,7.0,Charlotte Hornets
57,21400058.0,Orlando Magic,Philadelphia 76ers,91.0,89.0,180.0,2.0,Orlando Magic
58,21400059.0,Toronto Raptors,Boston Celtics,110.0,107.0,217.0,3.0,Toronto Raptors
59,21400060.0,Minnesota Timberwolves,Brooklyn Nets,98.0,91.0,189.0,7.0,Minnesota Timberwolves
60,21400061.0,New York Knicks,Detroit Pistons,95.0,98.0,193.0,3.0,Detroit Pistons
61,21400062.0,Chicago Bulls,Milwaukee Bucks,95.0,86.0,181.0,9.0,Chicago Bulls
62,21400063.0,Indiana Pacers,Washington Wizards,94.0,96.0,190.0,2.0,Washington Wizards
63,21400064.0,Atlanta Hawks,San Antonio Spurs,92.0,94.0,186.0,2.0,San Antonio Spurs
64,21400065.0,Memphis Grizzlies,Phoenix Suns,102.0,91.0,193.0,11.0,Memphis Grizzlies
65,21400066.0,Cleveland Cavaliers,Utah Jazz,100.0,102.0,202.0,2.0,Utah Jazz
66,21400067.0,Denver Nuggets,Sacramento Kings,109.0,131.0,240.0,22.0,Sacramento Kings
67,21400068.0,Los Angeles Clippers,Golden State Warriors,104.0,121.0,225.0,17.0,Golden State Warriors
68,21400069.0,San Antonio Spurs,Houston Rockets,81.0,98.0,179.0,17.0,Houston Rockets
69,21400070.0,Dallas Mavericks,Portland Trail Blazers,87.0,108.0,195.0,21.0,Portland Trail Blazers
70,21400071.0,Atlanta Hawks,Charlotte Hornets,119.0,122.0,241.0,3.0,Charlotte Hornets
71,21400072.0,Minnesota Timberwolves,Orlando Magic,103.0,112.0,215.0,9.0,Orlando Magic
72,21400073.0,Chicago Bulls,Philadelphia 76ers,118.0,115.0,233.0,3.0,Chicago Bulls
73,21400074.0,Indiana Pacers,Boston Celtics,98.0,101.0,199.0,3.0,Boston Celtics
74,21400075.0,New York Knicks,Brooklyn Nets,99.0,110.0,209.0,11.0,Brooklyn Nets
