,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK
0,21401217.0,Atlanta Hawks,Chicago Bulls,85.0,91.0,176.0,6.0,Chicago Bulls,6.0,0.276,0.7140000000000001,42.0,15.0,10.0,10.0,0.292,0.846,50.0,14.0,11.0,9.0
1,21401198.0,Atlanta Hawks,Washington Wizards,99.0,108.0,207.0,9.0,Washington Wizards,9.0,0.31,0.75,38.0,24.0,10.0,2.0,0.429,0.778,51.0,22.0,8.0,6.0
2,21401163.0,Atlanta Hawks,Brooklyn Nets,114.0,111.0,225.0,3.0,Atlanta Hawks,3.0,0.3929999999999999,0.68,40.0,35.0,11.0,4.0,0.2689999999999999,0.88,47.0,27.0,7.0,4.0
3,21401138.0,Brooklyn Nets,Atlanta Hawks,99.0,131.0,230.0,32.0,Atlanta Hawks,32.0,0.435,0.647,39.0,22.0,7.0,2.0,0.515,0.8420000000000001,34.0,40.0,15.0,4.0
4,21401103.0,Milwaukee Bucks,Atlanta Hawks,88.0,101.0,189.0,13.0,Atlanta Hawks,13.0,0.235,0.696,39.0,26.0,4.0,2.0,0.31,0.833,42.0,29.0,5.0,4.0
5,21401077.0,Miami Heat,Atlanta Hawks,86.0,99.0,185.0,13.0,Atlanta Hawks,13.0,0.314,0.733,41.0,20.0,9.0,6.0,0.3329999999999999,0.792,38.0,31.0,12.0,4.0
6,21401039.0,San Antonio Spurs,Atlanta Hawks,114.0,95.0,209.0,114.0,San Antonio Spurs,19.0,0.412,0.882,43.0,30.0,8.0,4.0,0.5,1.0,29.0,25.0,13.0,2.0
7,21401014.0,Atlanta Hawks,Golden State Warriors,95.0,114.0,209.0,114.0,Golden State Warriors,19.0,0.364,0.833,44.0,24.0,14.0,4.0,0.467,0.6,44.0,39.0,8.0,7.0
8,21400989.0,Atlanta Hawks,Los Angeles Lakers,91.0,86.0,177.0,86.0,Los Angeles Lakers,5.0,0.217,0.667,34.0,25.0,9.0,6.0,0.389,0.733,54.0,21.0,6.0,4.0
9,21400958.0,Atlanta Hawks,Denver Nuggets,102.0,115.0,217.0,13.0,Denver Nuggets,13.0,0.3329999999999999,0.926,32.0,18.0,11.0,3.0,0.419,0.9,44.0,28.0,8.0,9.0
