,GAME_ID,PTS
1685,21400001,185
2755,21400002,201
4366,21400003,198
15659,21400004,214
9204,21400005,194
615,21400006,226
5982,21400007,202
81,21400008,211
14050,21400009,206
8131,21400010,184
3295,21400011,168
4365,21400012,197
10282,21400013,218
11360,21400014,172
12434,21400015,195
8664,21400016,203
15125,21400017,188
8130,21400018,185
13510,21400019,222
4904,21400020,183
9203,21400021,186
1153,21400022,222
6521,21400023,174
10281,21400024,183
11359,21400025,197
5442,21400026,229
1684,21400027,213
14048,21400028,140
12971,21400029,203
9741,21400030,210
6520,21400031,205
80,21400032,194
15124,21400033,192
4364,21400034,194
7059,21400035,211
3294,21400036,193
13509,21400037,209
5441,21400038,231
11358,21400039,190
5980,21400040,209
15657,21400041,189
3832,21400042,185
4363,21400043,197
12431,21400044,201
14047,21400045,174
613,21400046,231
3293,21400047,215
4901,21400048,208
6519,21400049,168
5979,21400050,199
14585,21400051,181
12430,21400052,188
8662,21400053,188
15656,21400054,191
1152,21400055,183
5440,21400056,218
15655,21400057,185
8661,21400058,180
12968,21400059,217
7589,21400060,189
8127,21400061,193
2220,21400062,181
9200,21400063,190
11896,21400064,186
10278,21400065,193
13507,21400066,202
3292,21400067,240
4900,21400068,225
11895,21400069,179
10817,21400070,195
78,21400071,241
7057,21400072,215
2219,21400073,233
9199,21400074,199
7588,21400075,209
15122,21400076,193
14583,21400077,187
14045,21400078,180
10277,21400079,226
13506,21400080,187
1150,21400081,211
4899,21400082,208
14582,21400083,187
8125,21400084,199
5977,21400085,194
2218,21400086,207
4360,21400087,185
14044,21400088,185
1681,21400089,199
7587,21400090,200
13505,21400091,193
12428,21400092,194
12966,21400093,208
2749,21400094,201
10276,21400095,202
3290,21400096,216
15653,21400097,199
1680,21400098,229
13504,21400099,183
76,21400100,176
2217,21400101,193
11893,21400102,174
12965,21400103,204
5438,21400104,209
12427,21400105,163
11353,21400106,204
10814,21400107,202
3828,21400108,213
14581,21400109,210
75,21400110,197
609,21400111,203
9196,21400112,156
8657,21400113,192
1679,21400114,211
3289,21400115,243
10275,21400116,216
4359,21400117,214
14042,21400118,221
2216,21400119,193
2747,21400120,193
7585,21400121,206
3288,21400122,195
6514,21400123,186
74,21400124,217
608,21400125,243
13502,21400126,202
4358,21400127,175
1678,21400128,230
15118,21400129,185
15651,21400130,198
5436,21400131,173
8655,21400132,191
1147,21400133,221
13501,21400134,204
9194,21400135,189
15117,21400136,183
2746,21400137,248
10812,21400138,184
11890,21400139,185
3826,21400140,199
4897,21400141,227
3287,21400142,202
6513,21400143,175
12424,21400144,134
5435,21400145,251
2745,21400146,187
3286,21400147,203
10272,21400148,232
5972,21400149,178
8654,21400150,200
14040,21400151,212
9734,21400152,175
1677,21400153,195
4896,21400154,194
5434,21400155,223
8120,21400156,230
12423,21400157,179
11350,21400158,206
1145,21400159,182
15648,21400160,174
8653,21400161,204
606,21400162,191
2744,21400163,207
7582,21400164,240
10271,21400165,174
12962,21400166,188
8119,21400167,214
12422,21400168,207
4355,21400169,190
5971,21400170,203
2213,21400171,191
8652,21400172,205
10270,21400173,218
15114,21400174,188
6510,21400175,206
14038,21400176,217
7051,21400177,213
12421,21400178,186
1144,21400179,169
5432,21400180,246
1675,21400181,214
3824,21400182,189
2212,21400183,192
10269,21400184,189
8651,21400185,191
1143,21400186,203
9731,21400187,174
2742,21400188,187
7050,21400189,214
6509,21400190,211
11886,21400191,186
13498,21400192,200
4893,21400193,198
604,21400194,182
5969,21400195,187
12420,21400196,177
5431,21400197,195
15645,21400198,205
1142,21400199,180
10808,21400200,218
12959,21400201,204
4353,21400202,177
9191,21400203,211
2211,21400204,192
14576,21400205,208
3822,21400206,211
6508,21400207,184
11347,21400208,188
2210,21400209,223
10807,21400210,202
1141,21400211,200
3821,21400212,207
7579,21400213,190
2740,21400214,211
69,21400215,241
15112,21400216,202
4352,21400217,191
7049,21400218,189
12419,21400219,179
9190,21400220,206
3281,21400221,232
5430,21400222,192
603,21400223,211
15643,21400224,207
1672,21400225,191
15111,21400226,192
12957,21400227,208
4890,21400228,187
8115,21400229,183
8648,21400230,181
11345,21400231,216
3280,21400232,219
14035,21400233,211
7048,21400234,239
2738,21400235,213
14574,21400236,163
15642,21400237,180
1140,21400238,206
13495,21400239,208
6505,21400240,220
602,21400241,200
7578,21400242,186
15110,21400243,197
14034,21400244,182
8114,21400245,165
8647,21400246,183
10805,21400247,200
5428,21400248,251
9727,21400249,212
14573,21400250,193
13494,21400251,204
4888,21400252,228
6504,21400253,219
66,21400254,214
15109,21400255,202
7577,21400256,191
2737,21400257,261
12417,21400258,216
3278,21400259,208
9187,21400260,215
11343,21400261,226
3818,21400262,195
15641,21400263,197
5426,21400264,206
15108,21400265,211
11881,21400266,188
65,21400267,214
14033,21400268,201
2736,21400269,212
7045,21400270,162
12954,21400271,227
8645,21400272,200
8112,21400273,177
10803,21400274,170
1669,21400275,197
8111,21400276,205
9725,21400277,194
3277,21400278,208
5425,21400279,209
64,21400280,173
1137,21400281,196
11880,21400282,208
7044,21400283,226
10263,21400284,224
6502,21400285,194
8644,21400286,191
11342,21400287,203
9724,21400288,209
3816,21400289,214
10262,21400290,195
11879,21400291,224
8643,21400292,201
1668,21400293,220
14570,21400294,194
63,21400295,180
14031,21400296,190
12415,21400297,190
2734,21400298,227
8110,21400299,202
5424,21400300,191
9184,21400301,200
14569,21400302,265
7574,21400303,198
12952,21400304,219
7042,21400305,188
13491,21400306,193
10261,21400307,241
12951,21400308,206
10801,21400309,184
2733,21400310,219
1666,21400311,197
12414,21400312,215
10260,21400313,200
13490,21400314,196
11339,21400315,193
596,21400316,183
4884,21400317,199
8642,21400318,180
9723,21400319,174
7573,21400320,185
7041,21400321,172
8108,21400322,204
1665,21400323,219
4346,21400324,198
5961,21400325,184
12413,21400326,197
11338,21400327,222
2203,21400328,221
4883,21400329,200
60,21400330,168
8107,21400331,196
9722,21400332,158
12950,21400333,200
15638,21400334,220
7040,21400335,203
1133,21400336,233
15104,21400337,208
13489,21400338,195
5422,21400339,222
2731,21400340,203
15637,21400341,201
9181,21400342,180
8640,21400343,199
6499,21400344,217
9721,21400345,235
3273,21400346,204
15103,21400347,185
1663,21400348,250
5959,21400349,168
13488,21400350,177
7039,21400351,194
12411,21400352,200
8106,21400353,185
11875,21400354,190
15636,21400355,185
5420,21400356,201
9720,21400357,192
58,21400358,179
8639,21400359,177
6498,21400360,190
11874,21400361,203
4881,21400362,204
14565,21400363,204
5958,21400364,186
3811,21400365,203
1662,21400366,230
8105,21400367,194
12410,21400368,196
10256,21400369,217
57,21400370,225
8638,21400371,201
15101,21400372,223
5957,21400373,192
12947,21400374,194
11873,21400375,233
10796,21400376,201
9179,21400377,202
3271,21400378,226
8104,21400379,200
4342,21400380,189
6496,21400381,215
3810,21400382,223
8637,21400383,195
9719,21400384,200
7037,21400385,212
1130,21400386,186
15100,21400387,210
5956,21400388,208
2199,21400389,200
10795,21400390,248
4879,21400391,215
5419,21400392,207
10255,21400393,189
10794,21400394,202
15633,21400395,190
56,21400396,201
11871,21400397,192
3269,21400398,149
6495,21400399,208
8102,21400400,226
14024,21400401,196
11334,21400402,209
7567,21400403,215
591,21400404,184
8636,21400405,184
10254,21400406,196
7036,21400407,196
12407,21400408,200
3268,21400409,192
12944,21400410,249
4340,21400411,205
14023,21400412,188
55,21400413,207
4877,21400414,243
11333,21400415,236
1128,21400416,229
1658,21400417,180
590,21400418,195
2197,21400419,190
54,21400420,211
3267,21400421,198
5954,21400422,178
15631,21400423,209
12406,21400424,226
10253,21400425,239
5417,21400426,220
8101,21400427,193
11869,21400428,220
5953,21400429,192
2196,21400430,206
4875,21400431,186
7565,21400432,216
1126,21400433,187
53,21400434,184
9175,21400435,228
4339,21400436,228
1657,21400437,187
15630,21400438,173
5415,21400439,200
3266,21400440,208
9716,21400441,207
11332,21400442,221
12943,21400443,208
8633,21400444,196
14560,21400445,189
5952,21400446,198
1656,21400447,207
7564,21400448,195
52,21400449,175
13482,21400450,159
11331,21400451,264
7033,21400452,207
1125,21400453,183
11867,21400454,216
2724,21400455,219
10790,21400456,180
3265,21400457,218
5414,21400458,223
6491,21400459,198
2194,21400460,182
11330,21400461,206
5951,21400462,203
4337,21400463,207
4873,21400464,198
15096,21400465,195
1124,21400466,210
2193,21400467,178
14020,21400468,182
1655,21400469,216
2723,21400470,201
3264,21400471,214
13480,21400472,194
12941,21400473,199
3805,21400474,212
11329,21400475,190
5950,21400476,201
8098,21400477,177
15627,21400478,185
6490,21400479,176
12402,21400480,271
1654,21400481,188
3263,21400482,207
7031,21400483,217
15626,21400484,178
7561,21400485,198
586,21400486,220
8097,21400487,178
1653,21400488,194
12401,21400489,211
6489,21400490,185
10248,21400491,208
50,21400492,190
12940,21400493,231
5412,21400494,215
15625,21400495,188
585,21400496,213
5949,21400497,194
7030,21400498,190
14556,21400499,193
3262,21400500,199
49,21400501,222
9712,21400502,218
2721,21400503,199
15094,21400504,209
5948,21400505,172
6488,21400506,177
12939,21400507,234
9170,21400508,175
9711,21400509,187
584,21400510,199
2720,21400511,184
4333,21400512,219
14017,21400513,188
7029,21400514,211
14555,21400515,177
9169,21400516,206
10787,21400517,192
12400,21400518,208
48,21400519,205
6487,21400520,198
15093,21400521,209
1651,21400522,192
4332,21400523,198
6486,21400524,174
14554,21400525,192
14016,21400526,182
583,21400527,170
13476,21400528,174
15092,21400529,203
8628,21400530,183
10245,21400531,224
12399,21400532,187
9168,21400533,219
5409,21400534,203
15622,21400535,198
8093,21400536,216
10786,21400537,182
9167,21400538,210
