,TEAM,LAST_15_FG3_PCT,LAST_15_FT_PCT,LAST_15_REB,LAST_15_AST,LAST_15_STL,LAST_15_BLK,TEAM_ELO
0,Brooklyn Nets,0.339,0.8236,44.86666667,26.73333333,7.466666667,4.8,1601.795135
1,Miami Heat,0.350333333,0.769666667,38.66666667,27.06666667,8.266666667,4.933333333,1497.175397
2,New Orleans Pelicans,0.3214,0.761133333,47.93333333,25.46666667,7.866666667,5.466666667,1466.264328
3,New York Knicks,0.4018,0.7808,44.53333333,20.86666667,8.266666667,5.933333333,1573.666277
4,Indiana Pacers,0.363466667,0.800666667,43.66666667,26.93333333,8.666666667,7.266666667,1465.243911
5,Atlanta Hawks,0.398066667,0.797466667,43.8,23.8,6.733333333,4.6,1554.31489
6,San Antonio Spurs,0.342066667,0.782533333,42.73333333,24.2,7.066666667,5.533333333,1469.719585
7,Phoenix Suns,0.366066667,0.8456,43.66666667,27.6,8.8,4.133333333,1684.381641
8,Memphis Grizzlies,0.376733333,0.757533333,49.06666667,28.2,8.6,4.866666667,1596.172954
9,Milwaukee Bucks,0.419666667,0.784133333,47.8,24.2,8.466666667,4.066666667,1612.994533
10,Golden State Warriors,0.382266667,0.805866667,41.2,27.0,9.066666667,4.8,1456.787988
11,Boston Celtics,0.382866667,0.818666667,44.93333333,25.8,7.266666667,5.733333333,1592.05302
12,Cleveland Cavaliers,0.341133333,0.7818,40.8,25.46666667,8.333333333,4.133333333,1320.492071
13,Chicago Bulls,0.3548,0.799933333,45.06666667,27.13333333,6.333333333,3.933333333,1423.625601
14,Detroit Pistons,0.367266667,0.779866667,42.93333333,24.4,8.133333333,5.4,1369.360421
15,Washington Wizards,0.335,0.785466667,47.33333333,25.13333333,6.0,4.066666667,1443.960462
16,Utah Jazz,0.372866667,0.818666667,50.13333333,22.6,6.266666667,5.6,1693.207656
17,Los Angeles Lakers,0.3544,0.734,42.66666667,23.73333333,9.066666667,3.733333333,1584.257379
18,New York Knicks,0.395933333,0.769533333,44.4,21.0,8.4,5.866666667,1573.833622
19,Dallas Mavericks,0.370866667,0.758,45.8,21.46666667,5.333333333,4.0,1562.730204
20,Portland Trail Blazers,0.375266667,0.803533333,44.8,21.06666667,6.6,5.6,1516.621956
21,San Antonio Spurs,0.346066667,0.782533333,42.2,24.13333333,7.0,5.2,1435.44924
22,Miami Heat,0.338533333,0.769066667,39.86666667,26.0,7.8,4.733333333,1487.963899
23,Minnesota Timberwolves,0.3442,0.809666667,42.06666667,23.93333333,9.4,5.4,1312.267855
24,Denver Nuggets,0.379866667,0.789666667,45.53333333,28.2,7.933333333,4.6,1276.927451
25,Houston Rockets,0.360066667,0.7412,42.2,25.86666667,6.266666667,4.666666667,1616.8048
26,Memphis Grizzlies,0.368933333,0.758733333,49.33333333,27.6,8.666666667,5.0,1412.508244
27,Chicago Bulls,0.351533333,0.802133333,44.8,26.46666667,6.666666667,4.133333333,1586.644971
28,Orlando Magic,0.3184,0.751,43.93333333,21.93333333,7.466666667,4.866666667,1353.007764
29,Toronto Raptors,0.3452,0.8144,41.93333333,21.93333333,8.666666667,5.866666667,1480.126048
